Comparison,Beta,0.1
ADiT_DSI < ArbiTree_CQC,0.0,3.78e-10***
ADiT_DSI < set_min,0.0,1.000
ADiT_DSI < set_prec,0.0,4.27e-10***
ADiT_DSI < set_recall,0.0,1.000
ADiT_DSI > ArbiTree_CQC,0.0,1.000
ADiT_DSI > set_min,0.0,3.78e-10***
ADiT_DSI > set_prec,0.0,1.000
ADiT_DSI > set_recall,0.0,3.78e-10***
ArbiTree_CQC < set_min,0.0,1.000
ArbiTree_CQC < set_prec,0.0,1.000
ArbiTree_CQC < set_recall,0.0,1.000
ArbiTree_CQC > set_min,0.0,3.78e-10***
ArbiTree_CQC > set_prec,0.0,3.78e-10***
ArbiTree_CQC > set_recall,0.0,3.78e-10***
set_min < set_prec,0.0,3.78e-10***
set_min < set_recall,0.0,3.78e-10***
set_min > set_prec,0.0,1.000
set_min > set_recall,0.0,1.000
set_prec < set_recall,0.0,1.000
set_prec > set_recall,0.0,3.78e-10***
