Comparison,Beta,0.1
ArbiTree_CQC < set_min,0.1,1.000
ArbiTree_CQC < set_min,0.3,1.000
ArbiTree_CQC < set_min,0.5,1.000
ArbiTree_CQC < set_prec,0.1,1.000
ArbiTree_CQC < set_prec,0.3,1.000
ArbiTree_CQC < set_prec,0.5,1.000
ArbiTree_CQC < set_recall,0.1,1.000
ArbiTree_CQC < set_recall,0.3,1.000
ArbiTree_CQC < set_recall,0.5,1.000
ArbiTree_CQC > set_min,0.1,3.78e-10***
ArbiTree_CQC > set_min,0.3,3.78e-10***
ArbiTree_CQC > set_min,0.5,3.78e-10***
ArbiTree_CQC > set_prec,0.1,3.78e-10***
ArbiTree_CQC > set_prec,0.3,3.78e-10***
ArbiTree_CQC > set_prec,0.5,3.78e-10***
ArbiTree_CQC > set_recall,0.1,3.78e-10***
ArbiTree_CQC > set_recall,0.3,3.78e-10***
ArbiTree_CQC > set_recall,0.5,3.78e-10***
set_min < set_prec,0.1,3.78e-10***
set_min < set_prec,0.3,3.78e-10***
set_min < set_prec,0.5,3.78e-10***
set_min < set_recall,0.1,3.78e-10***
set_min < set_recall,0.3,1.000
set_min < set_recall,0.5,1.000
set_min > set_prec,0.1,1.000
set_min > set_prec,0.3,1.000
set_min > set_prec,0.5,1.000
set_min > set_recall,0.1,1.000
set_min > set_recall,0.3,3.78e-10***
set_min > set_recall,0.5,3.78e-10***
set_prec < set_recall,0.1,1.000
set_prec < set_recall,0.3,1.000
set_prec < set_recall,0.5,1.000
set_prec > set_recall,0.1,3.78e-10***
set_prec > set_recall,0.3,3.78e-10***
set_prec > set_recall,0.5,3.78e-10***
