Comparison,p-value,n_pairs,mean_diff,m1_mean,m2_mean,formatted_p
ADiT_DSI faster than ArbiTree_CQC,0.9999999996221536,50,-712.5336183357239,792.1702902555465,79.63667191982269,1.000
ADiT_DSI slower than ArbiTree_CQC,3.778464727931783e-10,50,712.5336183357239,792.1702902555465,79.63667191982269,3.78e-10***
ADiT_DSI faster than set_min,0.9999999996221536,50,-790.921143527031,792.1702902555465,1.249146728515625,1.000
ADiT_DSI slower than set_min,3.778464727931783e-10,50,790.921143527031,792.1702902555465,1.249146728515625,3.78e-10***
ADiT_DSI faster than set_prec,0.9999999996221536,50,-790.6113446187973,792.1702902555465,1.5589456367492676,1.000
ADiT_DSI slower than set_prec,3.778464727931783e-10,50,790.6113446187973,792.1702902555465,1.5589456367492676,3.78e-10***
ADiT_DSI faster than set_recall,0.9999999996221536,50,-790.7784557104111,792.1702902555465,1.391834545135498,1.000
ADiT_DSI slower than set_recall,3.778464727931783e-10,50,790.7784557104111,792.1702902555465,1.391834545135498,3.78e-10***
ArbiTree_CQC faster than set_min,0.9999999996221536,50,-78.38752519130706,79.63667191982269,1.249146728515625,1.000
ArbiTree_CQC slower than set_min,3.778464727931783e-10,50,78.38752519130706,79.63667191982269,1.249146728515625,3.78e-10***
ArbiTree_CQC faster than set_prec,0.9999999996221536,50,-78.07772628307343,79.63667191982269,1.5589456367492676,1.000
ArbiTree_CQC slower than set_prec,3.778464727931783e-10,50,78.07772628307343,79.63667191982269,1.5589456367492676,3.78e-10***
ArbiTree_CQC faster than set_recall,0.9999999996221536,50,-78.2448373746872,79.63667191982269,1.391834545135498,1.000
ArbiTree_CQC slower than set_recall,3.778464727931783e-10,50,78.2448373746872,79.63667191982269,1.391834545135498,3.78e-10***
set_min faster than set_prec,3.778464727931783e-10,50,0.3097989082336426,1.249146728515625,1.5589456367492676,3.78e-10***
set_min slower than set_prec,0.9999999996221536,50,-0.3097989082336426,1.249146728515625,1.5589456367492676,1.000
set_min faster than set_recall,3.778464727931783e-10,50,0.14268781661987304,1.249146728515625,1.391834545135498,3.78e-10***
set_min slower than set_recall,0.9999999996221536,50,-0.14268781661987304,1.249146728515625,1.391834545135498,1.000
set_prec faster than set_recall,0.9999999996221536,50,-0.16711109161376952,1.5589456367492676,1.391834545135498,1.000
set_prec slower than set_recall,3.778464727931783e-10,50,0.16711109161376952,1.5589456367492676,1.391834545135498,3.78e-10***
